"NZAu_maj","name","type","bin_number","cf_wLL_2020_nzau","cf_wLL_2020_rerun","tx_cost_per_kw_2021_nzau","tx_cost_per_kw_2021_rerun","capex_per_kw_2021_nzau","capex_per_kw_2021_rerun","NZAu_GW","Case1_GW","Case2_GW","Case3_GW","2025","2030","2035","2040","2045","2050","2055","2060","type_b","EP2060","CASE1","CASE2","CASE3"
"vic-west","onshore wind|3","onshore",3,0.297,0.299,233,243,2023.187,2023.187,2.753,1.518,2.745,3.453,0.01,0.02,0.02,2.53,2.53,2.53,2.51,2.5,"ON [3]","2 (0.297, 233)","2 (0.299, 243)","3 (0.299, 243)","3 (0.299, 243)"
"vic-west","onshore wind|4","onshore",4,0.285,0.285,416,457,2023.187,2023.187,11.799,2.914,10.342,15.415,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,"ON [4]","0 (0.285, 416)","3 (0.285, 457)","10 (0.285, 457)","15 (0.285, 457)"
"vic-west","onshore wind|5","onshore",5,0.289,0.289,651,675,2023.187,2023.187,12.896,9.417,12.17,13.893,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,"ON [5]","0 (0.289, 651)","9 (0.289, 675)","12 (0.289, 675)","14 (0.289, 675)"
"vic-east","large-scale solar pv|4","solar",4,0.172,0.174,237,245,1560.685,1560.685,7.164,7.138,7.16,24.586,0,0.01,0.01,0.01,0.02,0.03,0.03,0.03,"PV [4]","0 (0.172, 237)","7 (0.174, 245)","7 (0.174, 245)","25 (0.174, 245)"
"vic-east","offshore wind|1","offshore",1,0.665,0.658,1116,816,3114.962,3109.069,100.642,100.641,100.641,100.642,0,0.96,9.42,37.15,63.11,89.04,96.27,96.25,"OFF [1]","96 (0.665, 1116)","101 (0.658, 816)","101 (0.658, 816)","101 (0.658, 816)"
"vic-east","offshore wind|2","offshore",2,0.652,0.654,1432,1038,3091.745,3170.416,7.369,7.369,7.369,7.42,0,0.01,0.01,0.01,0.01,0.01,0.82,2.14,"OFF [2]","2 (0.652, 1432)","7 (0.654, 1038)","7 (0.654, 1038)","7 (0.654, 1038)"
"vic-east","offshore wind|3","offshore",3,0.5,0.445,902,791,3295.904,2989.893,24.388,24.385,24.385,24.953,0,0,0,0,0,0,0,0,"OFF [3]","0 (0.5, 902)","24 (0.445, 791)","24 (0.445, 791)","25 (0.445, 791)"
"vic-east","offshore wind|4","offshore",4,0.492,0.511,1354,1317,3084.643,3114.19,0.327,0.327,0.327,0.327,0,0,0,0,0,0,0,0,"OFF [4]","0 (0.492, 1354)","0.3 (0.511, 1317)","0.3 (0.511, 1317)","0.3 (0.511, 1317)"
"vic-east","offshore wind|5","offshore",5,0.388,0.388,822,0,3015.32,0,0,0,0,0,0,0,0,0,0,0,0,0,"OFF [5]","0 (0.388, 822)","0 (0.388, 0)","0 (0.388, 0)","0 (0.388, 0)"
"vic-east","onshore wind|1","onshore",1,0.336,0.329,304,305,2023.187,2023.187,2.001,2.001,2.001,3.138,0.32,0.64,0.95,0.95,0.95,0.95,0.95,0.95,"ON [1]","0.9 (0.336, 304)","2 (0.329, 305)","2 (0.329, 305)","3 (0.329, 305)"
"vic-east","onshore wind|3","onshore",3,0.304,0.304,0,207,2023.187,2023.187,0.051,0.051,0.051,1.85,0,0,0,0,0,0,0,0,"ON [3]","0 (0.304, 0)","0.1 (0.304, 207)","0.1 (0.304, 207)","2 (0.304, 207)"
"vic-east","onshore wind|4","onshore",4,0.268,0.268,0,342,2023.187,2023.187,0,0,0,0.742,0,0,0,0,0,0,0,0,"ON [4]","0 (0.268, 0)","0 (0.268, 342)","0 (0.268, 342)","0.7 (0.268, 342)"
"vic-east","onshore wind|5","onshore",5,0.266,0.266,0,555,2023.187,2023.187,0.077,0.077,0.077,0.359,0,0,0,0,0,0,0,0,"ON [5]","0 (0.266, 0)","0.1 (0.266, 555)","0.1 (0.266, 555)","0.4 (0.266, 555)"
"tas","large-scale solar pv|4","solar",4,0.166,0.167,233,295,1560.685,1560.685,7.479,3.374,7.479,24.196,0,0.88,0.89,0.89,0.97,1.36,1.74,4.66,"PV [4]","5 (0.166, 233)","3 (0.167, 295)","7 (0.167, 295)","24 (0.167, 295)"
"tas","offshore wind|1","offshore",1,0.65,0.64,1012,874,3397.69,3656.467,109.882,105.895,109.882,112.432,0,0,0.01,0.01,0.01,0.01,0.01,0.01,"OFF [1]","0 (0.65, 1012)","106 (0.64, 874)","110 (0.64, 874)","112 (0.64, 874)"
"tas","offshore wind|2","offshore",2,0.645,0.655,1505,1130,2920.11,3182.49,139.917,138.637,139.694,140.488,0,0.01,0.69,1.37,1.45,1.52,1.59,5.38,"OFF [2]","5 (0.645, 1505)","139 (0.655, 1130)","140 (0.655, 1130)","140 (0.655, 1130)"
"tas","offshore wind|3","offshore",3,0.512,0.488,897,856,3262.238,3191.582,24.073,21.812,24.073,24.461,0,0,0,0,0,0,0,0,"OFF [3]","0 (0.512, 897)","22 (0.488, 856)","24 (0.488, 856)","24 (0.488, 856)"
"tas","offshore wind|4","offshore",4,0.477,0.563,1441,1536,3432.02,2801.572,2.28,1.961,2.28,2.78,0,0,0,0,0,0,0,0,"OFF [4]","0 (0.477, 1441)","2 (0.563, 1536)","2 (0.563, 1536)","3 (0.563, 1536)"
"tas","offshore wind|5","offshore",5,0.394,0.424,1261,1311,3037.34,3112.683,2.288,2.288,2.288,2.793,0,0,0,0,0,0,0,0,"OFF [5]","0 (0.394, 1261)","2 (0.424, 1311)","2 (0.424, 1311)","3 (0.424, 1311)"
"tas","onshore wind|1","onshore",1,0.343,0.343,0,395,2023.187,2023.187,0.662,0.309,0.662,4.279,0,0,0,0,0,0,0,0,"ON [1]","0 (0.343, 0)","0.3 (0.343, 395)","0.7 (0.343, 395)","4 (0.343, 395)"
"tas","onshore wind|2","onshore",2,0.349,0.349,0,642,2023.187,2023.187,0.412,0.215,0.412,2.74,0,0,0,0,0,0,0,0,"ON [2]","0 (0.349, 0)","0.2 (0.349, 642)","0.4 (0.349, 642)","3 (0.349, 642)"
"tas","onshore wind|3","onshore",3,0.307,0.307,0,223,2023.187,2023.187,0.207,0,0.207,1.022,0,0,0,0,0,0,0,0,"ON [3]","0 (0.307, 0)","0 (0.307, 223)","0.2 (0.307, 223)","1 (0.307, 223)"
"tas","onshore wind|4","onshore",4,0.275,0.275,0,398,2023.187,2023.187,0.279,0,0.279,0.344,0,0,0,0,0,0,0,0,"ON [4]","0 (0.275, 0)","0 (0.275, 398)","0.3 (0.275, 398)","0.3 (0.275, 398)"
"tas","onshore wind|5","onshore",5,0.283,0.283,0,670,2023.187,2023.187,0,0,0,0.105,0,0,0,0,0,0,0,0,"ON [5]","0 (0.283, 0)","0 (0.283, 670)","0 (0.283, 670)","0.1 (0.283, 670)"
"sa","large-scale solar pv|2","solar",2,0.236,0.236,158,190,1560.685,1560.685,3.729,3.729,3.729,5.029,0,0.18,0.23,0.25,0.25,0.25,0.25,0.25,"PV [2]","0.2 (0.236, 158)","4 (0.236, 190)","4 (0.236, 190)","5 (0.236, 190)"
"sa","large-scale solar pv|3","solar",3,0.236,0.229,313,300,1560.685,1560.685,173.436,163.986,172.967,410.832,0,0.01,0.14,0.31,1.83,3.34,3.61,3.62,"PV [3]","4 (0.236, 313)","164 (0.229, 300)","173 (0.229, 300)","411 (0.229, 300)"
"sa","large-scale solar pv|4","solar",4,0.2,0.197,282,308,1560.685,1560.685,43.595,34.227,43.551,70.467,0,0,0.01,0.01,0.01,0.01,0.01,0.01,"PV [4]","0 (0.2, 282)","34 (0.197, 308)","44 (0.197, 308)","70 (0.197, 308)"
"sa","offshore wind|1","offshore",1,0.573,0.559,1019,973,4034.569,3604.298,41.981,41.981,41.981,40.5,0,0,0,0,0,0,0,0,"OFF [1]","0 (0.573, 1019)","42 (0.559, 973)","42 (0.559, 973)","40 (0.559, 973)"
"sa","offshore wind|2","offshore",2,0.55,0.55,1447,0,2902.858,0,0,0,0,0,0,0.01,0.27,0.53,0.53,0.53,0.54,0.53,"OFF [2]","0.5 (0.55, 1447)","0 (0.55, 0)","0 (0.55, 0)","0 (0.55, 0)"
"sa","offshore wind|3","offshore",3,0.516,0.471,1058,958,3225.235,2920.795,98.813,98.56,98.702,107.196,0,0,0,0,0,0.01,0.01,0,"OFF [3]","0 (0.516, 1058)","99 (0.471, 958)","99 (0.471, 958)","107 (0.471, 958)"
"sa","offshore wind|4","offshore",4,0.474,0.495,1587,1527,3420.311,3506.931,150.825,150.825,150.825,150.397,0,0,0,0,0,0,0,0,"OFF [4]","0 (0.474, 1587)","151 (0.495, 1527)","151 (0.495, 1527)","150 (0.495, 1527)"
"sa","offshore wind|5","offshore",5,0.398,0.454,1211,1396,2653.217,3072.704,69.608,69.184,69.608,69.745,0,0,0,0,0,0,0,0,"OFF [5]","0 (0.398, 1211)","69 (0.454, 1396)","70 (0.454, 1396)","70 (0.454, 1396)"
"sa","onshore wind|1","onshore",1,0.312,0.313,354,400,2023.187,2023.187,53.711,21.59,53.681,72.844,0.57,1.13,1.7,1.7,1.7,1.7,1.14,0.57,"ON [1]","0.6 (0.312, 354)","22 (0.313, 400)","54 (0.313, 400)","73 (0.313, 400)"
"sa","onshore wind|2","onshore",2,0.309,0.308,658,676,2023.187,2023.187,100.398,52.824,100.158,117.706,0,0,0.01,0.01,0.01,0.01,0,0,"ON [2]","0 (0.309, 658)","53 (0.308, 676)","100 (0.308, 676)","118 (0.308, 676)"
"sa","onshore wind|3","onshore",3,0.289,0.288,213,241,2023.187,2023.187,27.21,8.459,27.076,31.83,0,0,0.01,0.01,0.01,0.01,0.01,0,"ON [3]","0 (0.289, 213)","8 (0.288, 241)","27 (0.288, 241)","32 (0.288, 241)"
"sa","onshore wind|4","onshore",4,0.28,0.281,394,396,2023.187,2023.187,43.603,31.675,43.626,43.747,0,0,0.01,0.01,0.01,0.01,0.01,0,"ON [4]","0 (0.28, 394)","32 (0.281, 396)","44 (0.281, 396)","44 (0.281, 396)"
"sa","onshore wind|5","onshore",5,0.279,0.278,642,646,2023.187,2023.187,29.719,19.675,29.718,30.06,0,0,0,0.01,0.01,0.01,0,0,"ON [5]","0 (0.279, 642)","20 (0.278, 646)","30 (0.278, 646)","30 (0.278, 646)"
"qld-south","large-scale solar pv|1","solar",1,0.257,0.254,376,355,1560.685,1560.685,55.556,44.857,55.024,112.151,1.41,1.41,1.42,1.44,1.44,1.44,0.03,0.89,"PV [1]","0.9 (0.257, 376)","45 (0.254, 355)","55 (0.254, 355)","112 (0.254, 355)"
"qld-south","large-scale solar pv|2","solar",2,0.248,0.247,208,228,1560.685,1560.685,33.392,23.085,33.392,68.871,1.67,4.93,7.76,10.57,13.41,19.35,24.63,27.01,"PV [2]","27 (0.248, 208)","23 (0.247, 228)","33 (0.247, 228)","69 (0.247, 228)"
"qld-south","large-scale solar pv|3","solar",3,0.247,0.242,324,327,1560.685,1560.685,61.275,46.956,59.988,110.601,0,0.01,0.02,0.02,0.03,0.03,0.03,0.1,"PV [3]","0.1 (0.247, 324)","47 (0.242, 327)","60 (0.242, 327)","111 (0.242, 327)"
"qld-south","large-scale solar pv|4","solar",4,0.226,0.226,124,0,1560.685,1560.685,0,0,0,0,0,0.01,0.02,0.03,0.04,0.04,0.05,0.43,"PV [4]","0.4 (0.226, 124)","0 (0.226, 0)","0 (0.226, 0)","0 (0.226, 0)"
"qld-south","offshore wind|3","offshore",3,0.441,0.425,987,979,3215.317,3231.193,33.598,33.598,33.598,33.598,0,0,0,0,0,0,0,0,"OFF [3]","0 (0.441, 987)","34 (0.425, 979)","34 (0.425, 979)","34 (0.425, 979)"
"qld-south","offshore wind|4","offshore",4,0.456,0.47,1541,1602,3005.057,3118.086,0.702,0.702,0.702,0.702,0,0,0,0,0,0,0,0,"OFF [4]","0 (0.456, 1541)","0.7 (0.47, 1602)","0.7 (0.47, 1602)","0.7 (0.47, 1602)"
